"idcollectorpoint","idantena","identificationcode","applicationcode","datetime"
100,1,44332211,0,"2014-10-14T20:50:43.000Z"
100,0,44332211,0,"2014-10-14T20:50:53.000Z"
100,1,44332233,0,"2014-10-14T20:51:01.000Z"
100,1,44332233,0,"2014-10-14T20:51:04.000Z"
100,1,44332233,0,"2014-10-14T20:51:05.000Z"
100,1,44332244,0,"2014-10-14T20:51:07.000Z"
100,1,44332244,0,"2014-10-14T20:51:09.000Z"
100,1,44332244,0,"2014-10-14T20:51:10.000Z"
100,1,44332222,0,"2014-10-14T20:51:13.000Z"
100,1,44332222,0,"2014-10-14T20:51:14.000Z"
100,1,44332244,0,"2014-10-14T20:51:16.000Z"
100,1,44332244,0,"2014-10-14T20:51:18.000Z"
100,1,44332244,0,"2014-10-14T20:51:19.000Z"
100,1,44332244,0,"2014-10-14T20:51:20.000Z"
100,0,44332222,0,"2014-10-14T20:51:24.000Z"
100,0,44332222,0,"2014-10-14T20:51:27.000Z"
100,0,44332211,0,"2014-10-14T20:51:32.000Z"
100,0,44332211,0,"2014-10-14T20:51:35.000Z"
100,0,44332233,0,"2014-10-14T20:51:39.000Z"
100,0,44332233,0,"2014-10-14T20:51:43.000Z"
100,0,44332233,0,"2014-10-14T20:51:48.000Z"
100,0,44332244,0,"2014-10-14T20:51:49.000Z"
100,0,44332244,0,"2014-10-14T20:51:51.000Z"
100,1,44332211,0,"2014-10-14T20:54:20.000Z"
100,1,44332211,0,"2014-10-14T20:54:21.000Z"
100,1,44332211,0,"2014-10-14T20:54:22.000Z"
100,1,44332211,0,"2014-10-14T20:54:23.000Z"
100,1,44332211,0,"2014-10-14T20:54:24.000Z"
100,1,44332211,0,"2014-10-14T20:54:25.000Z"
100,1,44332211,0,"2014-10-14T20:54:26.000Z"
100,1,44332211,0,"2014-10-14T20:54:27.000Z"
100,1,44332211,0,"2014-10-14T20:54:28.000Z"
100,1,44332211,0,"2014-10-14T20:54:29.000Z"
100,1,44332211,0,"2014-10-14T20:54:30.000Z"
100,1,44332211,0,"2014-10-14T20:54:31.000Z"
100,1,44332211,0,"2014-10-14T20:54:32.000Z"
100,1,44332211,0,"2014-10-14T20:54:33.000Z"
100,1,44332211,0,"2014-10-14T20:54:34.000Z"
100,0,44332244,0,"2014-10-14T20:54:34.000Z"
100,1,44332211,0,"2014-10-14T20:54:35.000Z"
100,1,44332211,0,"2014-10-14T20:54:36.000Z"
100,1,44332211,0,"2014-10-14T20:54:37.000Z"
100,1,44332211,0,"2014-10-14T20:54:38.000Z"
100,0,44332244,0,"2014-10-14T20:54:37.000Z"
100,0,44332244,0,"2014-10-14T20:54:42.000Z"
100,1,44332211,0,"2014-10-14T20:54:39.000Z"
100,1,44332211,0,"2014-10-14T20:54:40.000Z"
100,1,44332211,0,"2014-10-14T20:54:43.000Z"
100,0,44332244,0,"2014-10-14T20:54:46.000Z"
100,1,44332211,0,"2014-10-14T20:54:44.000Z"
100,1,44332211,0,"2014-10-14T20:54:49.000Z"
100,0,44332244,0,"2014-10-14T20:54:49.000Z"
100,0,44332244,0,"2014-10-14T20:54:54.000Z"
100,0,44332244,0,"2014-10-14T20:54:58.000Z"
100,0,44332244,0,"2014-10-14T20:55:01.000Z"
100,0,44332244,0,"2014-10-14T20:55:06.000Z"
100,0,44332244,0,"2014-10-14T20:55:10.000Z"
100,1,44332211,0,"2014-10-14T20:55:10.000Z"
100,0,44332244,0,"2014-10-14T20:55:13.000Z"
100,0,44332244,0,"2014-10-14T20:55:17.000Z"
100,0,44332244,0,"2014-10-14T20:55:21.000Z"
100,1,44332211,0,"2014-10-14T20:55:26.000Z"
100,0,44332244,0,"2014-10-14T20:55:25.000Z"
